id,AT1G04310,AT1G73500,AT2G31730,AT3G59900,AT5G64900
AT3G15210,-0.470568692958,-0.425861105312,-0.533897312839,-0.630083490518,0.268523188937
AT1G25560,0.891520649056,0.576769142505,0.906649905129,0.960780957549,-0.368080440724
AT1G68840,0.725402655921,0.72721060782,0.804851108467,0.823687287856,-0.530921331313
AT4G16750,-0.856206331636,-0.628709447822,-0.891188364279,-0.923319820252,0.436299425337
AT5G13910,0.909906562009,0.502094578067,0.829893395381,0.969241344247,-0.219227683574
AT1G28370,0.923478948351,0.427076590329,0.851085813259,0.966584568532,-0.178808665039
AT1G64380,0.111837008146,-0.723696608451,-0.20218939539,-0.201006041994,0.540301585688
AT1G74840,0.190732607365,-0.836752707062,-0.199621629137,-0.128932476964,0.746429191272
AT3G23240,0.930543358559,0.451342466169,0.928132872507,0.968543219749,-0.282906004733
AT3G61630,-0.158698615258,-0.834177347931,-0.618126556727,-0.302296472882,0.963286945541
AT4G11140,0.158889157669,0.742808933583,0.421105094497,0.347007526441,-0.603564846978
AT4G17500,0.710740425824,0.799701616123,0.834420143208,0.825968970218,-0.595620274687
AT5G47220,0.912216625134,0.45587998502,0.849420678519,0.961510574229,-0.199568276438
AT5G47230,0.787176360896,0.604487549509,0.869541245844,0.805393305179,-0.531355293867
