id,AT1G04310,AT1G73500,AT2G31730,AT3G59900,AT5G64900
AT3G15210,-0.694234835243,0.381067517647,-0.42219379072,-0.487623279583,-0.332586162181
AT1G25560,0.728027856692,0.193384669719,0.828923695913,0.922680104878,-0.0177032069143
AT1G68840,0.685487942763,0.12819629744,0.823551796142,0.620320180857,-0.178004712105
AT4G16750,-0.774744027267,-0.128318972629,-0.891505820961,-0.810283614463,0.0979414008493
AT5G13910,0.852245745807,-0.0838913153414,0.676139574951,0.95417816252,0.295965196024
AT1G28370,0.649030394577,0.165027963443,0.64348241912,0.96695518333,0.149264358776
AT1G64380,0.606482292902,-0.857883665747,0.0898155688366,-0.0271947518398,0.512834160484
AT1G74840,0.654816173481,-0.950918319518,-0.0318003228043,0.136722308812,0.790342975879
AT3G23240,0.700397678334,0.179961603408,0.793151122116,0.948989091508,0.0320289114191
AT3G61630,0.493060516904,-0.929395812751,-0.325887151132,0.141001322191,0.9524062164
AT4G11140,-0.530902064054,0.901734661103,0.0548243235915,0.0690911331776,-0.607089058373
AT4G17500,0.263652266462,0.665412454144,0.724104537231,0.612837194768,-0.479146484554
AT5G47220,0.650578918259,0.109835593097,0.587091040242,0.943466843718,0.22477256046
AT5G47230,0.713476159422,-0.0993941818174,0.813386776931,0.411609305089,-0.17899925994
